[6769,1675] [6480,1073] 
[49038,37268] [49929,37656] 
[9199,58727] [9692,58353] 
[79067,96542] [79968,96724] 
[27134,36378] [27386,36718] 
[81268,27688] [81813,27359] 
[46768,5294] [46603,5638] 
[40182,42728] [40756,42033] 
[10368,59282] [10290,59227] 
[8446,60659] [8655,60815] 
[7830,91809] [7319,91881] 
[53077,68373] [53552,68284] 
[31323,8828] [31427,8935] 
[77304,6656] [77292,6817] 
[1083,89639] [1993,89826] 
[66536,76323] [66553,76241] 
[60311,26884] [60485,26904] 
[48490,83900] [48397,83736] 
[92567,82384] [92251,82259] 
[63070,68446] [63787,68433] 
[761,91493] [217,91501] 
[4146,30686] [4589,30540] 
[48583,83787] [48513,83627] 
[15929,88440] [15527,88540] 
[56846,40562] [56504,40955] 
[15929,88440] [15886,88443] 
[18301,95781] [18702,95293] 
[68717,84716] [68645,84518] 
[85901,53878] [85939,53501] 
[10173,59454] [10589,59862] 
[12293,8907] [12059,8483] 
[10803,59439] [10194,59488] 
[48868,83341] [48187,83503] 
[40654,42287] [40609,42407] 
[26347,23660] [26368,23222] 
[79211,96550] [79944,96458] 
[42264,62410] [42108,62202] 
[73230,64375] [73829,64344] 
[1393,89738] [1245,89338] 
[51601,84275] [51670,84007] 
[80988,96032] [80056,96173] 
[82405,85743] [82294,85201] 
[54374,10308] [54512,10611] 
[74,91722] [105,91621] 
[23274,41810] [23692,41808] 
[47995,26694] [47678,26455] 
[49553,37499] [49612,37297] 
[34354,224] [34478,945] 
[13416,68774] [13960,68748] 
[80720,96430] [80099,96957] 
[13414,68296] [13268,68346] 
[6934,1102] [6463,1153] 
[54020,10803] [54619,10005] 
[99277,25079] [99895,25436] 
[99379,25008] [99191,25137] 
[49604,37335] [49596,37780] 
[72313,22424] [72167,22967] 
[83700,22280] [83674,22531] 
[48024,83097] [48952,83227] 
[11881,60843] [11489,60858] 
[6721,1898] [6686,1794] 
[28820,93770] [28310,93119] 
[8174,60582] [8217,60412] 
[10054,59877] [10490,59197] 
[68089,84795] [68153,84405] 
[34444,689] [34869,292] 
[77926,6291] [77383,6938] 
[320,91165] [788,91109] 
[96158,21601] [96552,21289] 
[9251,58318] [9103,58358] 
[93736,48414] [93887,48443] 
[86577,90791] [86523,90816] 
[30725,26717] [30453,26226] 
[21538,16474] [21200,16579] 
[2946,53056] [2599,53123] 
[65713,87013] [65829,87486] 
[23694,41744] [23511,41223] 
[41097,67786] [41397,67255] 
[67443,99425] [67040,99410] 
[8166,60121] [8341,60837] 
[77050,6940] [77287,6529] 
[7004,91623] [7852,91625] 
[86245,90743] [86457,90311] 
[61444,91017] [61866,91001] 
[51905,84196] [51625,84782] 
[22050,33655] [22019,33881] 
[66468,76398] [66780,76922] 
[19706,56419] [19643,56302] 
[85573,53800] [85192,53761] 
[94598,50779] [94125,50232] 
[31767,8194] [31347,8470] 
[96509,21991] [96115,21140] 
[88603,6934] [88945,6403] 
[71970,38807] [71779,38622] 
[32482,32229] [32334,32964] 
[83700,22839] [83969,22441] 
[80116,96876] [80067,96733] 
[7406,91983] [7445,91574] 
[11302,60120] [11659,60488] 
[95990,42527] [95703,42800] 
[44275,39555] [44742,39632] 
[4227,30624] [4945,30465] 
[64124,48756] [64629,48872] 
[51337,84270] [51662,84191] 
[58676,18788] [58726,18650] 
[9096,58594] [9641,58304] 
[61227,91112] [61696,91650] 
[39307,58855] [39555,58272] 
[66638,76656] [66180,76481] 
[82900,85457] [82642,85111] 
[97161,12997] [97886,12272] 
[64413,48699] [64695,48258] 
[49449,37447] [49418,37704] 
[12264,8709] [12910,8696] 
[84193,54986] [84384,54300] 
[64196,48913] [64377,48965] 
[55142,67943] [55377,67623] 
[48547,83958] [48904,83326] 
[89424,2242] [89773,2388] 
[9594,58371] [9945,58502] 
[2318,53290] [2984,53339] 
[39671,58576] [39538,58733] 
[17474,57649] [17772,57638] 
[10722,59263] [10730,59075] 
[67978,99363] [67728,99812] 
[24797,72763] [24190,72001] 
[93994,48843] [93875,48133] 
[10417,59964] [10616,59014] 
[79597,96061] [79784,96518] 
[34182,390] [34098,619] 
[58446,18995] [58735,18797] 
[92471,82311] [92041,82465] 
[86712,90951] [86335,90233] 
[2743,53604] [2272,53675] 
[55624,67413] [55362,67342] 
[11155,60459] [11768,60885] 
[55851,67840] [55391,67219] 
[93634,48899] [93952,48306] 
[24316,72845] [24898,72430] 
[91851,4295] [91062,4727] 
[5144,45240] [5876,45027] 
[90880,42363] [90231,42707] 
[30989,26990] [30108,26647] 
[96158,21601] [96313,21059] 
[40837,42683] [40502,42396] 
[8393,60033] [8842,60080] 
[36439,83303] [36413,83001] 
[23894,41381] [23564,41679] 
[21615,16717] [21645,16449] 
[8071,60775] [8794,60622] 
[2115,53839] [2324,53274] 
[24918,72514] [24756,72215] 
[35140,94672] [35399,94187] 
[65134,87311] [65277,87741] 
[28003,93554] [28963,93799] 
[21792,16298] [21387,16021] 
[10782,59705] [10162,59689] 
[58470,18017] [58936,18630] 
[28552,93330] [28321,93310] 
[56778,40215] [56008,40320] 
[22506,33716] [22091,33651] 
[13421,68716] [13762,68287] 
[45309,9259] [45594,9482] 
[84593,54396] [84614,54809] 
[40551,42550] [40478,42048] 
[27513,36267] [27807,36848] 
[45006,9862] [45613,9176] 
[49522,37465] [49459,37687] 
[95977,42804] [95560,42885] 
[78001,58871] [78216,58762] 
[16389,35402] [16411,35957] 
[27553,36705] [27115,36098] 
[94561,50927] [94697,50301] 
[73838,64650] [73396,64377] 
[83622,22828] [83110,22387] 
[39233,58811] [39484,58969] 
[6463,1153] [6406,1370] 
[18517,95282] [18625,95273] 
[9565,58221] [9133,58175] 
[43500,24060] [43020,24473] 
[47501,26047] [47103,26540] 
[92204,82535] [92281,82888] 
[87525,29001] [87403,29160] 
[75039,33296] [75698,33537] 
[55680,67835] [55019,67311] 
[36927,83150] [36275,83409] 
[1399,89978] [1891,89023] 
[87710,29618] [87905,29081] 
[57926,87712] [57507,87219] 
[25435,55681] [25660,55000] 
[40249,42650] [40042,42018] 
[97189,12795] [97201,12163] 
[68692,84148] [68645,84809] 
[46412,5312] [46895,5629] 
[48402,83430] [48932,83602] 
[80245,96882] [80238,96371] 
[44751,39353] [44805,39873] 
[8389,60625] [8058,60575] 
[8311,60667] [8717,60928] 
[95552,42453] [95823,42194] 
[56624,40470] [56114,40202] 
[43694,24555] [43651,24708] 
[22951,33350] [22171,33621] 
[34101,994] [34113,483] 
[46856,5496] [46395,5329] 
[80787,96253] [80611,96838] 
[97241,12454] [97771,12677] 
[8763,60771] [8264,60383] 
[69138,24235] [69007,24336] 
[21952,16719] [21318,16905] 
[69065,24621] [69150,24202] 
[77599,6016] [77156,6376] 
[72997,22689] [72349,22497] 
[84965,54814] [84193,54986] 
[14905,3251] [14807,3730] 
[89396,2251] [89936,2360] 
[57869,87596] [57835,87408] 
[20079,40288] [20073,40220] 
[73516,64583] [73350,64758] 
[41334,67084] [41793,67563] 
[62124,64176] [62206,64544] 
[56297,40025] [56397,40282] 
[4218,30865] [4345,30351] 
[93968,48016] [93214,48215] 
[43855,24516] [43252,24965] 
[93899,48274] [93675,48248] 
[77611,6892] [77983,6870] 
[3047,11115] [3396,11853] 
[21121,16972] [21709,16595] 
[15772,88008] [15906,88467] 
[50439,50181] [50531,50895] 
[40667,42950] [40532,42557] 
[28805,93700] [28804,93840] 
[15288,88288] [15559,88827] 
[55972,67388] [55464,67399] 
[57746,87976] [57315,87833] 
[39269,58256] [39453,58659] 
[20457,40385] [20293,40716] 
[84301,54053] [84432,54001] 
[56189,40800] [56597,40442] 
[53896,68233] [53293,68317] 
[40412,42240] [40416,42093] 
[93706,48667] [93075,48451] 
[17460,57512] [17434,57677] 
[48486,83529] [48753,83898] 
[8675,60736] [8013,60284] 
[65033,87937] [65116,87767] 
[22183,33415] [22848,33535] 
[92843,82229] [92286,82177] 
[69569,24480] [69568,24823] 
[43613,24693] [43304,24684] 
[64776,48717] [64420,48885] 
[47632,26952] [47934,26499] 
[47526,26316] [47167,26808] 
[53353,68752] [53321,68265] 
[58594,18199] [58615,18651] 
[2743,53604] [2109,53187] 
[72792,22579] [72607,22470] 
[45293,9267] [45687,9861] 
[61209,91046] [61156,91771] 
[87481,29276] [87651,29677] 
[56690,40890] [56612,40755] 
[31044,8057] [31831,8278] 
[7915,91988] [7616,91288] 
[59311,32360] [59802,32678] 
[32597,32879] [32528,32203] 
[16811,35708] [16090,35164] 
[51962,84378] [51249,84961] 
[11703,60864] [11699,60162] 
[24775,72762] [24634,72886] 
[12941,8267] [12968,8065] 
[41070,67427] [41161,67372] 
[75489,33871] [75900,33116] 
[50488,50577] [50426,50928] 
[56668,40079] [56940,40188] 
[83993,22037] [83605,22533] 
[53328,68041] [53293,68267] 
[71798,38744] [71078,38570] 
[8230,60429] [8794,60041] 
[23806,41406] [23823,41643] 
[2239,53074] [2020,53827] 
[74393,20182] [74167,20502] 
[60798,26002] [60707,26254] 
[50570,50889] [50879,50170] 
[49103,37430] [49655,37205] 
[56997,40426] [56690,40890] 
[33312,15950] [33918,15213] 
[50485,50504] [50941,50385] 
[17460,57512] [17300,57812] 
[67014,99197] [67424,99789] 
[3593,11843] [3693,11466] 
[71606,38759] [71400,38783] 
[33931,15190] [33634,15862] 
[6686,1794] [6683,1547] 
[61630,91084] [61918,91635] 
[32882,32977] [32321,32841] 
[93772,48937] [93961,48027] 
[8301,60061] [8902,60100] 
[97960,12972] [97296,12875] 
[92777,82867] [92886,82970] 
[13532,68178] [13421,68716] 
[5271,45283] [5364,45038] 
[63680,68087] [63634,68936] 
[44261,39622] [44094,39931] 
[90583,42509] [90287,42545] 
[86099,90466] [86035,90465] 
[74086,20563] [74283,20601] 
[11768,60885] [11383,60638] 
[46887,5336] [46541,5900] 
[92731,82241] [92818,82428] 
[35700,94900] [35447,94657] 
[56426,40633] [56649,40862] 
[81197,27441] [81380,27168] 
[21386,16944] [21240,16531] 
[59978,32260] [59819,32848] 
[88815,6959] [88030,6976] 
[58004,18499] [58074,18326] 
[1279,89882] [1130,89846] 
[32131,32682] [32805,32332] 
[17696,57373] [17578,57289] 
[78506,58956] [78276,58636] 
[55142,67943] [55472,67713] 
[66083,76710] [66711,76512] 
[6708,1508] [6663,1771] 
[46726,5088] [46204,5211] 
[66420,76466] [66803,76158] 
[75227,33223] [75128,33821] 
[1380,89913] [1964,89710] 
[81233,27823] [81587,27491] 
[26697,23852] [26385,23217] 
[43829,24792] [43871,24978] 
[14205,3949] [14515,3935] 
[62144,64341] [62242,64410] 
[91569,4667] [91988,4989] 
[33483,15756] [33031,15176] 
[45267,9401] [45535,9704] 
[74032,20009] [74563,20446] 
[86205,90920] [86527,90437] 
[67524,99235] [67805,99308] 
[77810,6343] [77659,6815] 
[5250,45504] [5483,45766] 
[73271,64457] [73520,64535] 
[81403,27166] [81837,27227] 
[23034,41939] [23604,41975] 
[55312,67489] [55406,67676] 
[95965,42775] [95041,42372] 
[49814,37503] [49146,37857] 
[92327,82660] [92575,82417] 
[61534,91114] [61252,91083] 
[73107,64365] [73961,64304] 
[8845,60374] [8029,60128] 
[45577,9547] [45138,9636] 
[58130,18397] [58143,18442] 
[36113,83389] [36448,83821] 
[61370,91912] [61226,91784] 
[64962,48479] [64915,48327] 
[124,91318] [135,91376] 
[94969,50272] [94290,50443] 
[54329,10324] [54734,10288] 
[84525,54035] [84205,54426] 
[89061,2420] [89984,2150] 
[54269,10005] [54888,10744] 
[64795,48889] [64860,48900] 
[91826,4588] [91014,4824] 
[34037,365] [34373,397] 
[88390,6961] [88743,6386] 
[5618,45419] [5007,45284] 
[34812,890] [34763,753] 
[12233,8603] [12322,8486] 
[41477,67163] [41715,67426] 
[35610,94129] [35554,94743] 
[24367,72006] [24830,72724] 
[7353,91942] [7004,91623] 
[22171,33621] [22088,33675] 
[75798,33262] [75911,33474] 
[62117,64185] [62722,64340] 
[61374,91059] [61982,91909] 
[72608,22109] [72775,22912] 
[70937,50440] [70558,50053] 
[77286,6859] [77263,6613] 
[86849,90933] [86021,90873] 
[45267,9401] [45197,9656] 
[93491,48182] [93332,48159] 
[96004,21230] [96717,21944] 
[23624,41181] [23760,41874] 
[12474,8781] [12742,8118] 
[53674,68775] [53250,68153] 
[58332,18599] [58885,18593] 
[49321,37695] [49655,37140] 
[97467,12113] [97900,12391] 
[54976,10469] [54348,10496] 
[52493,43291] [52743,43994] 
[88277,6558] [88740,6947] 
[35890,94281] [35793,94924] 
[92730,82917] [92499,82234] 
[77461,6977] [77973,6404] 
[83987,22514] [83024,22776] 
[40543,42695] [40057,42056] 
[32157,32769] [32031,32199] 
[93412,48093] [93165,48125] 
[28330,93147] [28022,93828] 
[84616,54977] [84937,54251] 
[93829,48544] [93247,48940] 
[9651,58760] [9939,58010] 
[43176,24156] [43583,24605] 
[12580,8299] [12448,8684] 
[12509,8080] [12479,8981] 
[56360,40650] [56296,40480] 
[73505,64425] [73451,64708] 
[37395,59964] [37493,59944] 
[80887,96413] [80158,96928] 
[46726,5088] [46527,5377] 
[34268,553] [34182,390] 
[50707,50579] [50203,50859] 
[75202,33440] [75951,33077] 
[75762,33869] [75538,33971] 
[55497,67743] [55679,67886] 
[12642,8254] [12365,8754] 
[52431,43773] [52668,43101] 
[37690,59254] [37218,59562] 
[79942,96560] [79774,96376] 
[7617,91173] [7960,91545] 
[1556,89531] [1775,89642] 
[98020,3272] [98261,3148] 
[7603,91190] [7423,91347] 
[68654,84116] [68344,84861] 
[93892,48187] [93510,48219] 
[35622,94878] [35639,94908] 
[12448,8684] [12293,8907] 
[61551,91025] [61310,91045] 
[91804,4452] [91089,4668] 
[92951,82723] [92626,82090] 
[74105,20108] [74427,20364] 
[4595,30016] [4615,30804] 
[9898,58271] [9648,58189] 
[9331,58970] [9732,58076] 
[97197,12196] [97269,12781] 
[75807,33584] [75805,33713] 
[50434,50985] [50988,50884] 
[11952,60970] [11823,60064] 
[34493,445] [34524,418] 
[88767,6341] [88138,6458] 
[70264,50140] [70785,50861] 
[65995,87066] [65938,87047] 
[24608,72476] [24797,72763] 
[41715,67426] [41203,67627] 
[79411,96245] [79104,96425] 
[4993,30067] [4187,30640] 
[24595,72526] [24760,72616] 
[82383,85701] [82021,85918] 
[2632,53478] [2814,53787] 
[67661,99383] [67445,99544] 
[52365,43646] [52993,43381] 
[9954,58676] [9565,58599] 
[25703,55408] [25035,55220] 
[28434,93095] [28653,93374] 
[42118,62868] [42158,62269] 
[92871,82545] [92557,82671] 
[8701,60205] [8558,60123] 
[94040,50545] [94751,50299] 
[48639,83474] [48081,83064] 
[45499,9020] [45554,9371] 
[2381,53128] [2862,53424] 
[56381,40370] [56695,40558] 
[27893,36175] [27356,36972] 
[95718,42513] [95763,42605] 
[12923,8883] [12905,8847] 
[89062,2028] [89134,2168] 
[12239,8339] [12552,8830] 
[68316,84621] [68930,84591] 
[28735,93559] [28056,93789] 
[11767,60273] [11718,60298] 
[94697,50301] [94041,50676] 
[87571,29717] [87239,29557] 
[92621,82649] [92401,82945] 
[221,91964] [781,91872] 
[27325,36878] [27826,36147] 
[8721,60952] [8322,60828] 
[62910,64606] [62688,64900] 
[97457,12551] [97614,12930] 
[41619,67666] [41070,67201] 
[74212,20959] [74086,20706] 
[4949,30705] [4514,30785] 
[71149,38030] [71065,38026] 
[68642,84817] [68984,84679] 
[20616,40358] [20843,40807] 
[64752,48705] [64260,48291] 
[52387,43788] [52881,43038] 
[22040,33337] [22012,33034] 
[73961,64304] [73955,64447] 
[45006,9862] [45094,9401] 
[87453,29185] [87350,29859] 
[73165,64070] [73564,64710] 
[36903,83107] [36108,83828] 
[68721,84842] [68562,84422] 
[96480,21665] [96368,21536] 
[22734,33384] [22787,33193] 
[89630,2686] [89743,2477] 
[4906,30191] [4093,30435] 
[57036,87747] [57499,87767] 
[7907,91576] [7472,91645] 
[52878,43159] [52269,43273] 
[45019,9406] [45737,9587] 
[19503,56770] [19879,56500] 
[85863,53110] [85606,53668] 
[45964,9012] [45721,9231] 
[21570,16337] [21838,16588] 
[52387,43788] [52117,43449] 
[21432,16448] [21009,16546] 
[61284,91065] [61907,91461] 
[86080,90640] [86473,90056] 
[9052,58582] [9528,58366] 
[29935,78825] [29175,78205] 
[13666,68171] [13080,68964] 
[95433,42720] [95881,42531] 
[48911,83453] [48315,83173] 
[36084,83214] [36164,83688] 
[72521,22327] [72576,22590] 
[13647,68221] [13237,68643] 
[86080,90640] [86632,90855] 
[69180,24115] [69277,24125] 
[36146,83059] [36214,83583] 
[73971,64470] [73729,64100] 
[64242,48500] [64898,48032] 
[15344,88075] [15280,88650] 
[95445,42726] [95806,42065] 
[32978,32403] [32222,32375] 
[30103,26636] [30773,26766] 
[46999,5818] [46089,5620] 
[13987,68670] [13610,68859] 
[89775,2345] [89417,2836] 
[73045,64300] [73379,64355] 
[7072,91977] [7322,91902] 
[73309,64661] [73427,64411] 
[10662,59224] [10151,59604] 
[92880,82867] [92443,82552] 
[91143,4150] [91907,4094] 
[24748,72565] [24688,72181] 
[58830,18653] [58198,18599] 
[81837,27227] [81779,27581] 
[13920,68805] [13127,68837] 
[34948,775] [34712,597] 
[1338,89641] [1258,89047] 
[59212,32789] [59296,32696] 
[64814,48570] [64174,48692] 
[28420,93964] [28735,93559] 
[53882,68505] [53040,68877] 
[42461,62230] [42396,62879] 
[22664,33112] [22524,33934] 
[31691,8098] [31323,8828] 
[6298,1039] [6997,1146] 
[59594,32901] [59363,32210] 
[28778,93544] [28327,93702] 
[37733,59195] [37238,59837] 
[95405,42312] [95307,42477] 
[2946,53056] [2393,53704] 
[89930,2576] [89270,2378] 
[90816,42558] [90055,42576] 
[81795,27297] [81104,27715] 
[86050,90919] [86401,90396] 
[33633,15846] [33760,15041] 
[35271,94601] [35511,94230] 
[85799,53039] [85808,53017] 
[29782,78856] [29602,78607] 
[28123,93427] [28195,93709] 
[64860,48900] [64498,48798] 
[31010,8030] [31055,8372] 
[92777,82639] [92290,82475] 
[31301,8686] [31333,8573] 
[96494,21694] [96728,21625] 
[9282,58989] [9437,58599] 
[40967,42354] [40397,42241] 
[83077,22563] [83499,22349] 
[84083,54535] [84818,54798] 
[49220,37959] [49253,37041] 
[41930,67233] [41382,67379] 
[6495,1213] [6360,1814] 
[13009,68938] [13666,68171] 
[53242,68572] [53817,68903] 
[72644,22369] [72607,22306] 
[8446,60659] [8052,60771] 
[60004,26307] [60108,26800] 
[68596,84107] [68161,84675] 
[54607,10272] [54692,10708] 
[56372,40452] [56705,40053] 
[47306,26911] [47207,26439] 
[22667,33437] [22154,33970] 
[70234,50466] [70957,50218] 
[37727,59230] [37865,59570] 
[30062,26053] [30959,26600] 
[43703,24326] [43848,24676] 
[58173,18699] [58304,18827] 
[805,91372] [710,91271] 
[34160,883] [34559,343] 
[42649,62900] [42861,62100] 
[92008,82924] [92148,82797] 
[33173,15575] [33058,15699] 
[74330,20791] [74806,20825] 
[37601,59463] [37862,59480] 
[22183,33415] [22397,33025] 
[9987,58136] [9983,58987] 
[95644,42142] [95412,42689] 
[50109,50669] [50573,50553] 
[10941,59791] [10960,59462] 
[58880,18702] [58571,18645] 
[91569,4667] [91800,4763] 
[5865,45696] [5318,45963] 
[10174,59477] [10769,59237] 
[39767,58838] [39058,58948] 
[24722,72934] [24129,72871] 
[34929,348] [34464,349] 
[25365,55249] [25336,55007] 
[3586,11604] [3119,11479] 
[17706,57105] [17795,57387] 
[30703,26010] [30642,26284] 
[4021,30586] [4956,30421] 
[6278,1406] [6859,1305] 
[25297,55770] [25623,55005] 
[83511,22637] [83742,22214] 
[16386,35610] [16358,35220] 
[14286,3360] [14122,3260] 
[90967,42160] [90588,42676] 
[43765,24582] [43424,24039] 
[1245,89467] [1502,89617] 
[32357,32201] [32481,32269] 
[38019,92270] [38389,92110] 
[1290,89974] [1189,89787] 
[61804,91337] [61718,91122] 
[65402,87908] [65265,87589] 
[67003,99371] [67536,99270] 
[31883,8978] [31546,8562] 
[25254,55532] [25901,55731] 
[22848,33535] [22361,33928] 
[78506,58956] [78187,58225] 
[52715,43948] [52633,43218] 
[3272,11160] [3333,11146] 
[88339,6403] [88661,6979] 
[44214,39216] [44007,39217] 
[85606,53668] [85812,53407] 
[85871,53059] [85562,53636] 
[25600,55689] [25025,55000] 
[37797,59138] [37711,59829] 
[56933,40563] [56623,40519] 
[78138,58293] [78352,58154] 
[60951,26507] [60667,26553] 
[23929,41495] [23166,41925] 
[60941,26039] [60094,26845] 
[59292,32870] [59700,32084] 
[96349,21349] [96496,21535] 
[38393,92745] [38459,92363] 
[39080,58417] [39126,58628] 
[36104,83243] [36319,83736] 
[43818,24361] [43419,24875] 
[60767,26754] [60049,26328] 
[32746,32796] [32410,32696] 
[36778,83526] [36002,83016] 
[53463,68255] [53540,68618] 
[40990,42603] [40534,42541] 
[15581,88643] [15502,88023] 
[7628,91139] [7228,91580] 
[40753,42247] [40169,42384] 
[78184,58057] [78028,58101] 
[17529,57584] [17939,57999] 
[82731,85051] [82476,85145] 
[50261,50107] [50663,50661] 
[80578,96109] [80417,96167] 
[46603,5638] [46188,5938] 
[12782,8760] [12065,8930] 
[85935,53555] [85388,53225] 
[84639,54958] [84194,54287] 
[22951,33350] [22289,33185] 
[54694,10483] [54270,10025] 
[78752,58362] [78194,58013] 
[28734,93205] [28470,93504] 
[43240,24466] [43336,24589] 
[10309,59430] [10448,59567] 
[15477,88792] [15069,88573] 
[54188,10423] [54691,10610] 
[17478,57366] [17374,57548] 
[815,91949] [551,91487] 
[44673,39859] [44031,39674] 
[67001,99922] [67857,99812] 
[12448,8513] [12064,8215] 
[56567,40730] [56264,40975] 
[54020,10318] [54688,10952] 
[74419,20446] [74886,20679] 
[7004,91623] [7135,91590] 
[42001,62871] [42339,62553] 
[24251,72886] [24541,72022] 
[98206,3238] [98039,3532] 
[87432,29102] [87522,29079] 
[38512,92793] [38524,92385] 
[59199,32645] [59300,32725] 
[40564,42512] [40539,42404] 
[57938,87684] [57984,87110] 
[48315,83173] [48756,83078] 
[91334,4702] [91400,4652] 
[89992,2506] [89433,2109] 
[32,91387] [584,91240] 
[64334,48044] [64119,48956] 
[31246,8015] [31476,8219] 
[95396,42217] [95699,42760] 
[92796,82715] [92393,82489] 
[94972,50314] [94769,50733] 
[74081,20606] [74182,20889] 
[88165,6515] [88972,6190] 
[39047,58160] [39595,58081] 
[73549,64394] [73789,64939] 
[28,91614] [124,91318] 
[80630,96878] [80296,96564] 
[32749,32582] [32910,32881] 
[65274,87390] [65340,87637] 
[45568,9545] [45019,9406] 
[21824,16698] [21550,16390] 
[98833,3593] [98185,3309] 
[48309,83361] [48045,83680] 
[4313,30023] [4312,30618] 
[35254,94232] [35691,94641] 
[72624,22776] [72029,22150] 
[12002,8041] [12485,8063] 
[11682,60341] [11574,60500] 
[15953,88405] [15626,88153] 
[57851,87330] [57288,87968] 
[40104,42183] [40785,42783] 
[32151,32185] [32763,32804] 
[69679,24732] [69672,24872] 
[27536,36654] [27474,36064] 
[79556,96487] [79139,96713] 
[65357,87860] [65376,87652] 
[82164,85273] [82343,85270] 
[89936,2360] [89411,2580] 
[66968,76657] [66574,76603] 
[58806,18748] [58555,18364] 
[12900,8700] [12234,8606] 
[5336,45795] [5793,45323] 
[41439,67467] [41324,67405] 
[51324,84355] [51245,84130] 
[25323,55380] [25616,55811] 
[65179,87187] [65348,87282] 
[33523,15330] [33741,15578] 
[56704,40742] [56631,40658] 
[36250,83543] [36809,83702] 
[5046,45145] [5003,45152] 
[44815,39509] [44170,39622] 
[58830,18653] [58807,18830] 
[27210,36438] [27267,36540] 
[95220,42340] [95841,42223] 
[59974,32799] [59924,32949] 
[9052,58582] [9863,58961] 
[22018,33020] [22747,33523] 
[56821,40396] [56360,40650] 
[36628,83479] [36937,83363] 
[1339,89154] [1724,89981] 
[99481,25888] [99037,25570] 
[88426,6544] [88364,6227] 
[65033,87937] [65606,87052] 
[58477,18047] [58994,18741] 
[21897,16798] [21725,16372] 
[18667,95049] [18017,95665] 
[53610,68010] [53330,68284] 
[22749,33421] [22552,33615] 
[10536,59429] [10888,59539] 
[4646,30525] [4213,30824] 
[16808,35277] [16066,35633] 
[72734,22991] [72534,22453] 
[18711,95221] [18958,95899] 
[93036,48754] [93706,48667] 
[34527,924] [34812,890] 
[24008,72534] [24942,72359] 
[48161,83325] [48674,83726] 
[90522,42356] [90590,42901] 
[40899,42368] [40314,42194] 
[81833,27769] [81278,27397] 
[13309,68132] [13358,68788] 
[88396,6638] [88650,6380] 
[29978,78580] [29935,78825] 
[85000,53035] [85210,53938] 
[11633,60351] [11140,60625] 
[49616,37060] [49194,37288] 
[83389,22497] [83941,22069] 
[78766,58621] [78255,58805] 
[56952,40439] [56778,40215] 
[11189,60163] [11705,60815] 
[34876,572] [34078,948] 
[9171,58147] [9174,58819] 
[6376,1256] [6272,1703] 
[84010,54843] [84177,54034] 
[37093,59205] [37042,59498] 
[4245,30578] [4949,30705] 
[20737,40555] [20411,40008] 
[35862,94933] [35556,94016] 
[46830,5013] [46538,5301] 
[38393,92745] [38801,92962] 
[84852,54971] [84246,54721] 
[44231,39995] [44639,39510] 
[79255,96979] [79105,96886] 
[7228,91580] [7148,91444] 
[97490,12582] [97890,12179] 
[31047,8748] [31405,8946] 
[62959,64927] [62989,64559] 
[51670,84007] [51905,84512] 
[24848,72601] [24692,72888] 
[93447,48907] [93720,48413] 
[66785,76620] [66671,76963] 
[18685,95711] [18465,95249] 
[81233,27823] [81771,27238] 
[50666,50808] [50803,50663] 
